skill_name,value_score,verdict,reason,baseline_chars,skilled_chars,test_question
detecting-aws-iam-privilege-escalation,32,low_value,"B adds AWS CLI commands and slightly more structured attack path naming, but A already covered the core escalation mechanics, MITRE codes, and policy remediation with equal depth and clarity.",2122,1850,I found that the ec2-admin-prod user in our AWS account has an inline policy allowing iam:CreateAccessKey and sts:AssumeRole with a wildcard
detecting-compromised-cloud-credentials,42,moderate_value,"B adds specific AWS CLI commands and CloudTrail query syntax that A omitted, but both reach the same investigative conclusion and A's framework is already comprehensive enough for a senior analyst to execute.",2223,2090,"I'm seeing a spike in EC2 DescribeInstances and CreateSecurityGroup API calls from an IP in Singapore at 14:32 UTC, but our user was logged "
detecting-malicious-scheduled-tasks-with-sysmon,42,moderate_value,"B adds specific Sysmon Event IDs (1, 11, 3) and Windows Security Event IDs (4698, 4702) with concrete field names, plus Unicode encoding detail, but the core investigative logic and red flags are nearly identical to A.",2067,2033,"I'm seeing schtasks.exe spawned from a PowerShell process on WORKSTATION-42 at 2024-01-15 14:32:15 UTC with base64-encoded arguments, and I "
analyzing-network-traffic-for-incidents,45,moderate_value,"B adds specific tshark field extraction syntax and quantified beaconing thresholds (60±15 sec, ±10% jitter, <10MB/1hr) that A omitted, but both cover the same core workflow and A already identified Tor exit nodes and traffic characterization methods.",1933,1854,I captured traffic from workstation DESKTOP-7K4N2M between 14:30 and 15:45 UTC yesterday and noticed repeated DNS queries to a domain that r
detecting-dll-sideloading-attacks,45,moderate_value,"B adds PowerShell syntax and EDR process chain context, but both answers cover the same core forensic steps (hashing, metadata, log sources, MITRE T1574.002); B's additions are stylistic rather than revealing new investigative artifacts or tools that A omitted.",2016,1968,I found that calc.exe in C:\Windows\System32 loaded a DLL called version.dll from C:\Users\jsmith\AppData\Local\Temp at 14:32 UTC this morni
detecting-golden-ticket-attacks-in-kerberos-logs,45,moderate_value,"B adds specific error codes (0x20, 0x25) and a Splunk query pattern for Event 4771 that A omitted, plus clearer framing of why RC4+10-day is a golden ticket signature, but both answers reach the same core conclusion and acknowledge PAC signature validation isn't directly exposed in event logs.",1950,1947,"I'm seeing a TGT issued to WORKSTATION-07 at 2024-01-15 14:32 UTC with an RC4 encryption type and a 10-day lifetime, but our domain is confi"
detecting-suspicious-powershell-execution,45,moderate_value,"B adds specific SIEM/EDR query syntax and Sysmon EventID references, but both answers cover the same core forensic workflow (decode, check red flags, hunt logs); B's added queries are standard practice rather than skill-specific depth.",1884,1813,"I found a PowerShell process on WORKSTATION-42 that spawned with a base64-encoded command string in the command line at 14:23 UTC, and the p"
hunting-for-anomalous-powershell-execution,45,moderate_value,"B adds the ScriptBlockId reassembly detail and a structured MITRE mapping table, but both answers cover the same core tools (CyberChef, IEX detection, Event 4688 correlation) and lack specific parser names or advanced hunting workflows that would distinguish expert-level DFIR practice.",1977,1786,I found Event 4104 entries on WORKSTATION-042 from 3 AM this morning showing PowerShell script blocks with heavy Base64 encoding and multipl
hunting-for-data-staging-before-exfiltration,45,moderate_value,"B adds concrete Sysmon event IDs (11 for file create, 3 for file access, 4663), specific registry paths, and a structured hunt workflow (scope assessment, EDR querying, DLP/proxy correlation) that A omitted, but both reach the same core conclusion and A already covered most critical forensic artifacts.",1967,2065,I'm seeing a spike in 7z.exe process executions on WORKSTATION-042 between 2:15 AM and 3:45 AM with multiple command lines pointing to the T
hunting-for-shadow-copy-deletion,45,moderate_value,"B adds concrete query syntax (CrowdStrike/Splunk) and bcdedit checks, but A already covered the core forensic workflow, MITRE mapping, and investigative priorities; B's additions are helpful but not load-bearing to the analysis.",2119,2102,I noticed multiple vssadmin.exe delete shadows /all commands executed on WORKSTATION-04 between 2:15 AM and 2:45 AM this morning with no cor
hunting-for-startup-folder-persistence,45,moderate_value,"B adds Autoruns tool name and ANY.RUN reference plus a specific PowerShell EventLog filter syntax, but both answers cover the same core forensic workflow (hash, timeline, event logs, MITRE T1547.001) without materially different investigative depth.",2112,2186,I'm seeing unexpected .exe files appearing in C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup on WORKST
performing-endpoint-forensics-investigation,45,moderate_value,"B adds concrete command syntax (vol vs volatility3, specific PIDs, encoded Base64 grep patterns, dlllist plugin) and a PowerShell decoding example, but both answers cover the same core workflow (malfind → pslist → cmdline → strings → decode); B's additions are tactical refinements rather than materially new investigative steps or forensic-specific tools like AmcacheParser or event ID specifics that A omitted.",1815,1632,I found suspicious powershell.exe processes in the memory dump from WORKSTATION-042 taken at 2024-01-15 14:32 UTC that appear to have been i
performing-linux-log-forensics-investigation,45,moderate_value,"B adds a Python correlation script skeleton and slightly more precise grep patterns (IP extraction, uniq -c counting), but A already covered the core forensic workflow; B's script is incomplete and doesn't materially improve on A's command-based approach.",1916,1715,I'm seeing multiple failed SSH login attempts to our web server prod-web-01 between 2:15 AM and 3:45 AM last Tuesday followed by a successfu
analyzing-malware-persistence-with-autoruns,58,moderate_value,"B adds specific PowerShell cmdlets (Get-AuthenticodeSignature, Get-FileHash, Get-WinEvent with EventID 4688 filter) and concrete registry query syntax that A omitted, but both cover the same core investigation workflow and MITRE technique; B's additions are useful but not load-bearing to the analysis.",2094,1927,"I found suspicious entries in Autoruns on DESKTOP-7K2M9X pointing to a binary in AppData\Local\Temp with a random name, and it's set to run "
analyzing-persistence-mechanisms-in-linux,58,moderate_value,"B adds auditd-specific commands, syscall details (open/openat/write/unlink), MITRE technique codes (T1053.003, T1543.002, T1574.006, T1546.004), and package verification (rpm -V/dpkg -V) that A omitted, but both cover the same core persistence locations and investigation flow.",1677,1713,I found suspicious entries in /etc/cron.d on server web-prod-01 that were modified at 2024-01-15 03:47 UTC during a period of unusual SSH ac
analyzing-windows-lnk-files-for-artifacts,58,moderate_value,"B adds LnkParse3 library name and more detailed Python parsing structure with specific JSON field extraction (local_base_path, common_network_relative_link, volume_id), but A already covered LECmd, the primary tool, and both reach the same forensic conclusions without materially different actionable steps.",2029,1813,I found a suspicious LNK file at C:\Users\jsmith\AppData\Roaming\Microsoft\Windows\Recent\document.lnk on a workstation that was compromised
analyzing-windows-shellbag-artifacts,58,moderate_value,"B adds specific registry hive paths (UsrClass.dat, NTUSER.DAT), SBECmd syntax variations for offline analysis, and a structured table correlating artifacts, but both answers cover the same core limitations and investigative workflow.",2002,1831,"I found shellbag entries on DESKTOP-JOHN showing access to \Device\HarddiskVolume3\Users\Admin\Desktop at 2024-01-15 14:32 UTC, but the Desk"
detecting-aws-cloudtrail-anomalies,58,moderate_value,"B adds concrete AWS CLI commands (lookup-events, jq parsing) and specific CloudTrail field names (userIdentity.principalId, requestParameters.roleArn) that A omitted, but both reach the same investigative conclusions and A's conceptual framework is equally sound.",2015,2036,"I'm seeing a spike in AssumeRole API calls from our prod-app-server-01 instance starting at 2024-01-15 14:32 UTC, with requests to assume ro"
detecting-email-account-compromise,58,moderate_value,"B adds specific Azure AD audit log syntax, mailbox audit log commands, OAuth token revocation steps, and hidden folder GUID patterns that A omitted, but both reach the same core conclusions and A's PowerShell commands are equally actionable.",2066,1937,"I'm seeing a spike in mail forwarding rules created on our tenant over the last 2 hours, and one user's account shows sign-in from Nigeria a"
detecting-fileless-attacks-on-endpoints,58,moderate_value,"B adds concrete PowerShell decoding syntax (Unicode vs UTF8), specific Sysmon Event 8/7 queries for injection detection, and PowerShell cmdlet examples for log querying, but the core investigative framework and MITRE techniques are nearly identical to A.",1954,1819,I'm seeing suspicious PowerShell activity on WORKSTATION-042 where rundll32.exe spawned multiple powershell.exe processes with encoded comma
hunting-for-dns-based-persistence,58,moderate_value,"B adds concrete SecurityTrails API syntax and specific Azure/Route53 CloudTrail filter names, plus Windows DNS Event IDs 3150-3151, but A already covered the core investigative workflow and MITRE context; B's additions are useful but incremental rather than transformative.",2038,1865,"I noticed our domain example.com has a wildcard DNS record pointing to an attacker-controlled IP that wasn't there last week, and I'm seeing"
hunting-for-living-off-the-cloud-techniques,58,moderate_value,"B adds concrete KQL queries and a structured C2 vs. exfiltration decision table, but both answers cover the same core forensic artifacts (Event ID 4104, PowerShell cmdlets, SAS tokens); B's queries are environment-specific and don't reveal techniques A's methodology wouldn't uncover.",2126,1915,I'm seeing suspicious PowerShell activity on WORKSTATION-042 that's making HTTPS connections to blob.core.windows.net at 2:47 AM with large 
performing-cloud-forensics-with-aws-cloudtrail,58,moderate_value,"B adds concrete query-by-AccessKeyId lookup, Python parsing workflow, and CloudTrail Lake mention, but both answers cover the same core event types and MITRE techniques; B's additions are helpful but not load-bearing to the core investigation.",1916,1926,"I'm seeing a spike in failed authentication attempts against our prod-db-01 instance starting at 2024-01-15 14:32 UTC, followed by successfu"
performing-malware-persistence-investigation,58,moderate_value,"B adds concrete forensic workflow (XML parsing script, case directory structure, namespace-aware task extraction) and persistence-specific indicators (temp+PowerShell+SYSTEM flagging, re-download payload pattern), but both answers cover the same core MITRE technique, registry keys, and event IDs; B's added value is procedural rigor rather than new forensic artifacts or tools.",1829,2080,"I found scheduled tasks running under SYSTEM on SERVER-PROD-01 that execute a PowerShell script from a temp folder every 6 hours, but the sc"
analyzing-linux-elf-malware,68,moderate_value,"B adds specific ELF parsing commands (readelf, sha256sum), Monero wallet format details (49-char strings), and a structured capability table, but A already covered the core forensic workflow and MITRE mapping; B's additions are concrete but incremental rather than transformative.",2081,1861,"I found a suspicious ELF binary named ""systemd-update"" in /tmp on our web server that was executed around 03:45 UTC yesterday, and strings o"
analyzing-macro-malware-in-office-documents,68,moderate_value,"B adds a Python deobfuscation script and more granular extraction workflow (oleid triage, --decode vs --code flags, Chr() resolution), but A already covered the core tools, suspicious indicators, and MITRE techniques; B's script is helpful but incomplete and doesn't fundamentally change the investigative approach.",1872,1873,"I found a suspicious Excel file named invoice_2024.xlsx on the marketing team's shared drive that was downloaded yesterday, and when I opene"
analyzing-windows-amcache-artifacts,68,moderate_value,"B adds specific CSV filenames (Amcache_AssociatedFileEntries.csv), PowerShell filtering syntax, transaction log recovery details, and Timeline Explorer workflow that A omitted, but both answers cover the same core tools, registry paths, and caveats; B's additions are helpful but not load-bearing to the investigation.",2010,1771,I found an Amcache.hve file on a suspect's machine from last week and need to identify all programs that were executed between March 15th an
detecting-mimikatz-execution-patterns,68,moderate_value,"B adds specific GrantedAccess codes (0x1010, 0x1438, 0x143a), Sysmon Event IDs 11 & 13 with registry paths, a concrete Splunk query, and DCSync context that A omitted, but both cover the core investigation framework similarly.",1828,1824,I found a suspicious process tree on WORKSTATION-042 where rundll32.exe spawned from explorer.exe at 14:32 UTC and made direct calls to lsas
detecting-pass-the-hash-attacks,68,moderate_value,"B adds specific MDE KQL query syntax, explicit Sysmon event IDs with context (Event 10 for lsass access, Event 1 for process creation), MITRE technique references via LOLBAS, and Event 4768/4769 Kerberos absence checks that A omitted, but both cover the core investigative workflow similarly.",1963,1885,"I'm seeing multiple Type 3 NTLM logons from WORKSTATION-07 to our file servers between 14:30 and 15:45 UTC today, but this machine normally "
hunting-for-lateral-movement-via-wmi,68,moderate_value,"B adds specific Sysmon Event ID 1 reference, exact registry paths (HKLM\SOFTWARE\Microsoft\Wbem\ESS\//./root/subscription), .mof file locations, and wbemtest.exe tool mention, but core investigative flow and event IDs (5857-5861, 4688, 4624) are already in A.",1951,1936,"I'm seeing WmiPrvSE.exe spawning cmd.exe and powershell.exe as child processes on WORKSTATION-07 around 14:32 UTC yesterday, but there's no "
hunting-for-ntlm-relay-attacks,68,moderate_value,"B adds specific Event 4624 field names (Authentication Package, TargetUserName), PowerShell query syntax, and Responder-specific IOCs (LLMNR/NBT-NS ports), but A already covered the core attack pattern, key events, and hardening steps; B's additions are tactical refinements rather than load-bearing forensic depth.",1962,1879,"I'm seeing a spike in Event 4624 logon type 3 events on our domain controllers from 192.168.1.50 claiming to be WORKSTATION-A, but our asset"
analyzing-cobalt-strike-beacon-configuration,72,high_value,"B provides a concrete Python script using dissect.cobaltstrike library with specific config field names (SETTING_DOMAINS, SETTING_PORT, SETTING_PROTOCOL, SETTING_USERAGENT) and a structured extraction workflow that A lacked, making it immediately actionable for the analyst.",1916,2152,"I found a suspicious process running on WORKSTATION-042 that spawned from rundll32.exe, and I've got a memory dump from 2024-01-15 14:32 UTC"
analyzing-linux-audit-logs-for-intrusion,72,high_value,"B adds specific ausearch flags (--success, -ua, -m USER_CMD, -m USER_ACCT), exact timestamp syntax, concrete audit message types, and a structured 4-step investigative workflow that A lacks; A's commands are less precise and miss key filtering options.",1656,1728,"I'm seeing a spike in failed login attempts on webserver-prod-01 around 2:30 AM this morning, and I need to search the auditd logs to find o"
analyzing-linux-kernel-rootkits,72,high_value,"B adds specific syscall targets (read, open, getdents64, kill, connect), concrete address range patterns (0xffffffffc0a...), the linux.hidden_modules plugin, ISF symbol table download URLs, and kernel binary extraction steps that A omitted, making the investigation materially more actionable.",1997,1916,"I've got a memory dump from a compromised Ubuntu 20.04 server (hostname: web-prod-01) and rkhunter flagged suspicious syscall hooks, but I n"
analyzing-mft-for-deleted-file-recovery,72,high_value,"B adds concrete PowerShell filtering syntax, specific USN reason code (0x00000200), exact CSV field names (InUse, ParentPath, DeletedTime, MFTEntryNumber), and a structured correlation workflow that A omitted, making it immediately actionable for an analyst.",1959,1724,I recovered an MFT dump from a suspect's workstation (DESKTOP-ABC123) and need to identify all files deleted from the Documents folder in th
analyzing-packed-malware-with-upx-unpacker,72,high_value,"B adds concrete forensic workflow: entropy analysis via pefile, section inspection commands, header repair Python code, and explicit failure modes (CantUnpackException) that A omitted, making it materially more actionable for a real packed malware scenario.",1812,1664,I have a suspicious binary called svchost.exe from the ACME-WS-042 workstation that won't execute in my sandbox and IDA Pro isn't showing me
analyzing-prefetch-files-for-execution-history,72,high_value,"B provides concrete CSV column names, MAM4 decompression context, Python parsing code structure, and explicit Win10+ timestamp multiplicity that A omitted, making the extraction workflow materially more actionable for a real investigation.",1945,1928,"I found a prefetch file named NOTEPAD.EXE-3C41B4CB.pf on a compromised workstation DESKTOP-K7M2N9X dated March 15th, and I need to extract t"
analyzing-usb-device-connection-history,72,high_value,"B provides a concrete Python parsing script for setupapi.dev.log with regex patterns for device extraction, vendor/product parsing, and serial number correlation—specific forensic automation that A only described generically; B also structures the three-layer correlation workflow more explicitly for actionable investigation.",1690,1845,"I found multiple USB devices connected to WORKSTATION-03 between March 15-18, and I need to correlate the setupapi.dev.log entries with the "
analyzing-windows-registry-for-artifacts,72,high_value,"B adds concrete forensic tools (RegRipper, python-registry), exact registry paths with timestamps, and a structured decision tree with standard Windows directories that A lacked, making the analysis more immediately actionable.",2125,1940,I found suspicious entries in the HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run registry on WORKSTATION-042 from yesterda
collecting-indicators-of-compromise,72,high_value,"B adds concrete PowerShell query syntax (Get-WinEvent filters with specific Event IDs and time ranges), Sysmon Event ID 3 filtering, file discovery commands, and a structured IOC enrichment workflow that A omitted; these are load-bearing forensic steps that materially improve actionability.",1664,1602,"I found suspicious PowerShell execution on WORKSTATION-042 at 14:32 UTC that downloaded a file from 185.220.101.45, and I need to extract al"
conducting-cloud-incident-response,72,high_value,"B adds specific cmdlets (Set-AzureADServicePrincipal, Revoke-AzureADServicePrincipalAllRefreshToken, Remove-AzRoleAssignment loop) and a structured credential revocation workflow that A omitted, plus explicit token revocation and role removal steps critical to containment.",1995,1965,I'm seeing suspicious API calls from a service principal in our Azure tenant that's been creating and deleting storage accounts over the pas
deobfuscating-powershell-obfuscated-malware,72,high_value,"B adds specific Event ID filtering (4104), exact AST method signatures with parameter syntax, concrete obfuscation pattern taxonomy (tick-marks, character arrays, env vars), and ordered phase-based workflow that A lacks; these are load-bearing forensic details.",1825,1871,I've got a suspicious PowerShell script from a user's temp folder on DESKTOP-4K9JX2L that's heavily obfuscated with multiple layers of encod
detecting-wmi-persistence,72,high_value,"B adds specific Sysmon Event ID mappings (19/20/21), concrete WQL query patterns (process start, timer, file system triggers), exact PowerShell field names (CommandLineTemplate, ExecutablePath), and precise filtering by CreationUtcTime that A lacked—materially improving actionable forensic workflow.",2074,1982,I'm seeing suspicious Sysmon events on WORKSTATION-042 where Event ID 19 logged a new EventFilter with a CommandLineEventConsumer binding at
extracting-browser-history-artifacts,72,high_value,"B provides exact SQLite query syntax with Chrome's epoch timestamp conversion formula (1000000-11644473600), specific database schema field names (current_path, tab_url, danger_type, state), and structured SQL commands that A only mentioned generically via tool names like Hindsight.",1942,1850,"I found a suspicious executable in the Downloads folder on DESKTOP-JOHN42 with a timestamp of 2024-01-15 14:32 UTC, and I need to correlate "
extracting-windows-event-logs-artifacts,72,high_value,"B adds concrete forensic workflow (evidence hashing, PyEvtxParser for JSON extraction, specific timestamp parsing logic, case directory structure) and demonstrates actual EVTX parsing implementation that A only mentions generically; however, B's answer is incomplete/cut off and lacks the full persistence-mechanism coverage A provided.",1780,1783,I found suspicious logon events on WORKSTATION-03 showing multiple failed login attempts followed by a successful login from an unknown IP a
hunting-for-process-injection-techniques,72,high_value,"B adds specific Sysmon event IDs (Event ID 10 for ProcessAccess with exact GrantedAccess codes), CallStack analysis, Volatility commands for memory forensics, and VAD inspection — concrete forensic artifacts and tools A omitted.",2036,2076,"I'm seeing Sysmon Event ID 8 alerts on WORKSTATION-042 where rundll32.exe is creating remote threads into explorer.exe around 14:32 UTC, but"
hunting-for-registry-run-key-persistence,72,high_value,"B adds specific suspicious pattern indicators (temp paths, encoded PowerShell, LOLBins, script interpreters), precise Sysmon query syntax with field names, Event ID 11 file creation correlation step, and actionable red flags that A omitted, making the investigation more targeted and efficient.",1903,1759,I'm seeing multiple suspicious .exe files being written to HKLM\Software\Microsoft\Windows\CurrentVersion\Run on workstation DESKTOP-ABC123 
