ID,Area,Feature,User Story,Expected Behavior,Primary Code References,Endpoints / Entrypoints,Feature Status,Test Status,Test Command / Method,Observed Errors,Notes
US-001,System,API health/version/container status,"As an operator, I want basic health, version, and container status checks so I can confirm the platform and dependencies are reachable.",The API returns JSON health/test/version data and reports Docker container state without mutating platform data.,modules/backend/routes/system_routes.py; modules/backend/app.py,GET /api/test; POST /api/test; GET /api/health; GET /api/version; GET /api/system/containers,Implemented,Passed,bash scripts/run_feature_checks.sh --run US-001,None. VM smoke test returned backend healthy and test endpoint status ok.,Validated on user VM with intact_backend healthy.
US-002,Configuration,LLM/provider and platform settings,"As an administrator, I want to view and update platform, cloud, and model-provider settings so scans and AI analysis use the intended credentials and models.","The API lists available model catalogs, returns sanitized config values, persists supported updates, and exposes Azure certificate status/download without leaking secrets.",modules/backend/routes/config_routes.py; modules/backend/services/openrouter_catalog.py,GET/PUT/POST /api/config; GET/PUT/POST /api/config/cloud; model/provider catalog endpoints; Azure certificate endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-003,Dashboard,Automation run dashboard,"As an analyst, I want to list automation runs, inspect one run, stop it, and stream logs so I can monitor long-running workflows.","The dashboard endpoints enumerate stored automation runs, return detailed status/logs, and mark a stoppable run as stopped when requested.",modules/backend/routes/dashboard_routes.py; modules/backend/services/workflow_service.py,GET /api/dashboard/automations; GET/POST /api/dashboard/automation/<run_id>; logs endpoint,Implemented,Passed,bash scripts/run_feature_checks.sh --run US-003,None. VM pytest run collected 18 tests and all passed in 1.81s.,Covers workflow cancel/cleanup behavior and secret-store export isolation unit tests.
US-004,Client management,Velociraptor client inventory and installer downloads,"As an analyst, I want to see connected endpoints, inspect a client, and download platform-specific installers so I can deploy and manage collection agents.","The API returns client inventory, exposes client details where implemented, provides installer binaries by platform, and reports legacy client support status.",modules/backend/routes/client_routes.py; modules/backend/services/velociraptor_service.py; modules/backend/services/msi_generator_service.py,GET /api/clients; GET /api/client/<client_id>; GET /api/clients/download/<platform>; legacy status,Implemented,Partial Pass,bash scripts/run_feature_checks.sh --run US-004,None for smoke check. VM returned one Velociraptor client (WIN11) from /api/clients.,Client inventory smoke-tested only; installer download and individual client-detail paths still need targeted tests. Known-bugs notes identify related legacy/downgrade regressions that need targeted regression tests.
US-005,Velociraptor,Live hunts and TimeSketch handoff,"As an analyst, I want to run best-practice Velociraptor hunts, list artifacts, check hunt status, and send collections to TimeSketch so endpoint telemetry becomes actionable timeline evidence.","The API validates hunt requests, runs safe VQL/artifact workflows, tracks hunt status, and starts TimeSketch import workflows when collection data is ready.",modules/backend/routes/velociraptor_routes.py; modules/backend/services/velociraptor_service.py; modules/backend/services/vql_safety.py,"TimeSketch handoff, bestpractice hunt, hunt status, artifact list endpoints",Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-006,Velociraptor offline,Offline collector lifecycle,"As an operator in an air-gapped or disconnected environment, I want to create offline collector configs, generate packages, download them, and import results so endpoint evidence can be collected without live connectivity.","The API supports CRUD for offline collector configs, creates collector packages, serves generated downloads, and imports returned collection archives.",modules/backend/routes/velociraptor_offline_routes.py; modules/backend/services/legacy_velociraptor_service.py,CRUD offline configs; generate; download; import endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,Known-bugs notes identify related legacy/downgrade regressions that need targeted regression tests.
US-007,Blueprints,Workflow blueprint library,"As an analyst, I want reusable forensics, Velociraptor, agentic, TimeSketch, and memory blueprints so common investigations start from vetted presets.",The API lists built-in forensics blueprints and performs CRUD for supported blueprint categories while preserving schema-compatible user definitions.,modules/backend/routes/blueprint_routes.py; modules/backend/services/blueprint_loader_service.py; modules/backend/config/default_blueprints.yaml,GET forensics; CRUD velociraptor/agentic/timesketch/memory blueprints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-008,TimeSketch,Timeline ingestion workflow,"As an analyst, I want to import Velociraptor/KAPE evidence into TimeSketch so I can analyze endpoint activity in a timeline.","The API accepts import/start-multi requests, tracks processing through Plaso/log2timeline and TimeSketch import, reports workflow status, and lists available sketches.",modules/backend/routes/timesketch_routes.py; modules/backend/services/plaso_service.py; modules/backend/services/timesketch_service.py; modules/backend/services/kape_service.py,import; start-multi; status; sketches endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-009,TimeSketch,TimeSketch AI analysis settings,"As an administrator, I want to configure TimeSketch LLM settings so timeline analysis uses the intended AI provider and prompt settings.",The API returns current TimeSketch LLM configuration and persists valid updates for downstream TimeSketch analysis.,modules/backend/routes/timesketch_llm_routes.py; modules/timesketch/config/timesketch.conf.template,GET/PUT /api/timesketch/config/llm,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-010,Agentic analysis,Multi-client investigation runs,"As an analyst, I want to launch or analyze existing agentic investigation runs, download outputs, chat about results, synthesize findings, edit master prompts, and rerun analysis so AI-assisted triage can iterate on collected evidence.","The API creates run records, exposes status, reports, chat history and synthesis operations, produces downloadable artifacts, supports prompt updates, and can rerun an existing analysis.",modules/backend/routes/agentic_routes.py; data/replay_llm.py,run; analyze-existing; status; download; report; chat; synthesize; master-prompt; rerun endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-011,Memory forensics,Memory image analysis workflows,"As an analyst, I want to upload or run memory analysis, monitor/stop/rerun it, download results, chat over output, and manage memory blueprints/plugins so volatile evidence can be investigated repeatably.","The API accepts memory uploads and run requests, tracks status, supports cancellation/rerun, returns downloads, manages chat/synthesis/master prompts, and provides blueprint/plugin management.",modules/backend/routes/memory_routes.py,run; upload; status; download; stop; rerun; chat; synthesize; master-prompt; blueprint CRUD; available plugins,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-012,CVE,CVE vulnerability scan workflows,"As an analyst, I want to scan uploaded data, flow output, or live hunts for CVE indicators and download findings so vulnerabilities can be reported from collected evidence.","The API starts CVE scans from uploads, existing flows, or hunts and serves complete run downloads and findings-only downloads.",modules/backend/routes/cve_routes.py,upload scan; from-flow scan; run-hunt scan; run download; findings download,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-013,Azure,Azure collection and analysis pipeline,"As a cloud security analyst, I want to run Azure scans, upload offline Azure data, analyze it, inspect findings/analysis, download reports/data, chat, and rerun so tenant posture can be reviewed online or offline.","The API reports Azure capability status, lists blueprints/sources/rules, starts online scans or offline analysis, tracks run status, returns results/findings/analysis, lists/deletes runs, serves report/data downloads, and supports chat/rerun.",modules/backend/routes/azure_routes.py; docs/AZURE_AUTOMATION.md; docs/PLAN_azure_threat_hunter.md,Azure status; blueprints; sources; rules; scan; upload; offline analysis; results; reports; chat; rerun,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-014,AWS,AWS collection and analysis pipeline,"As a cloud security analyst, I want to run AWS scans, upload offline AWS data, inspect findings/analysis, download reports/data, chat, and rerun so AWS account posture can be reviewed online or offline.","The API mirrors the cloud workflow for AWS with status, blueprint/source/rule discovery, scan/upload/offline analysis, run inspection, reports, data export, chat, deletion, and rerun.",modules/backend/routes/aws_routes.py; docs/PLAN_aws_pipeline.md,AWS status; blueprints; sources; rules; scan; upload; offline analysis; results; reports; chat; rerun,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-015,Engagement,Engagement report generation and chat,"As an incident lead, I want to generate engagement reports from available sources, download report formats, chat about a report, and rerun generation so deliverables can be refined.","The API lists report sources, starts report generation, serves standard/PDF downloads, manages run chat, and supports reruns.",modules/backend/routes/engagement_routes.py,sources; generate; markdown/download; PDF download; chat; rerun endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-016,Scheduler,Scheduled jobs,"As an operator, I want to create, inspect, update, delete, enable/disable, and manually trigger scheduled jobs so recurring platform workflows run predictably.","The API persists scheduler jobs, returns job details, toggles enabled state, and runs a selected job on demand.",modules/backend/routes/scheduler_routes.py; modules/backend/services/scheduler_service.py,job CRUD; toggle; run endpoints,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
US-017,Maintenance,"Catalogs, skills, tools, purge, and YARA maintenance","As an administrator, I want to run maintenance tasks, refresh model catalogs/skills/YARA rules, download required tools, inspect tool inventory, and purge selected data so the platform remains current and manageable.","The API starts maintenance operations, returns catalog/tool/purge metadata, updates configured model inventories, downloads tools, purges selected sections, and refreshes/reports YARA ruleset status.",modules/backend/routes/maintenance_routes.py; modules/backend/services/tools_download_service.py; modules/backend/services/skills_download_service.py,maintenance run; model refresh; skill refresh; tool download/inventory; purge; YARA refresh/status,Implemented,Not Run,Requires running backend/integrated services or representative fixtures,Not yet executed in this environment; requires the runtime dependencies listed in Test Command / Method.,
