skill_name,is_malicious,max_severity,findings_count,top_findings,file_path,my_assessment,assessment_reason
analyzing-bootkit-and-rootkit-samples,yes,CRITICAL,2,CRITICAL/command_injection/COMPOUND_FIND_EXEC; CRITICAL/command_injection/COMPOUND_FIND_EXEC,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-bootkit-and-rootkit-samples.md,false_positive,"Matched `find firmware.rom.dump -name '*.efi' -exec file {} \;` — the -exec runs the read-only `file` ident tool on extracted firmware artifacts, a standard reverse-engineering step. No remote input."
analyzing-linux-system-artifacts,yes,CRITICAL,4,CRITICAL/command_injection/COMPOUND_FIND_EXEC; HIGH/command_injection/FIND_EXEC_PATTERN; CRITICAL/command_injection/COMPOUND_FIND_EXEC,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-linux-system-artifacts.md,false_positive,"All 4 findings operate on `/mnt/evidence/` (a mounted, read-only forensic image). `find ... -exec sh -c ...` on authorized_keys + cron files is the canonical Linux DFIR triage pattern. No remote/untrusted input ever reaches the -exec."
extracting-browser-history-artifacts,yes,CRITICAL,2,CRITICAL/command_injection/COMPOUND_FIND_EXEC; CRITICAL/command_injection/COMPOUND_FIND_EXEC,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/extracting-browser-history-artifacts.md,false_positive,"Mount-evidence + find-on-mount pattern. Reads Chrome / Firefox / Edge history out of `/mnt/evidence/Users/...` to copy artifacts off the image. Read-only mount, fixed paths, no injection surface."
performing-malware-persistence-investigation,yes,CRITICAL,2,CRITICAL/command_injection/COMPOUND_FIND_EXEC; CRITICAL/command_injection/COMPOUND_FIND_EXEC,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-malware-persistence-investigation.md,false_positive,"Same DFIR-on-mounted-image pattern. Persistence check enumerates crontab / systemd unit files under `/mnt/evidence`. The `find -exec` calls run only inspection commands (cat, stat, ls)."
performing-memory-forensics-with-volatility3,yes,HIGH,2,HIGH/supply_chain_attack/COMPOUND_EXTRACT_EXECUTE; HIGH/supply_chain_attack/COMPOUND_EXTRACT_EXECUTE,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-memory-forensics-with-volatility3.md,false_positive,"Matched `pip install volatility3` + `git clone https://github.com/volatilityfoundation/volatility3.git && pip install -e .`. That's the official install for Volatility 3 (Volatility Foundation, the canonical memory-forensics tool). Not a supply-chain attack."
analyzing-cobalt-strike-beacon-configuration,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-cobalt-strike-beacon-configuration.md,safe,
analyzing-linux-audit-logs-for-intrusion,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-linux-audit-logs-for-intrusion.md,safe,
analyzing-linux-elf-malware,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-linux-elf-malware.md,safe,
analyzing-linux-kernel-rootkits,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-linux-kernel-rootkits.md,safe,
analyzing-macro-malware-in-office-documents,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-macro-malware-in-office-documents.md,safe,
analyzing-malware-persistence-with-autoruns,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-malware-persistence-with-autoruns.md,safe,
analyzing-mft-for-deleted-file-recovery,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-mft-for-deleted-file-recovery.md,safe,
analyzing-network-traffic-for-incidents,no,MEDIUM,1,MEDIUM/tool_chaining_abuse/YARA_tool_chaining_abuse_generic,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-network-traffic-for-incidents.md,false_positive,"Matched a markdown table row *describing* DNS tunneling ('encoding data in DNS queries... to exfiltrate data'). The skill explains the technique so the LLM can hunt for it — it does not instruct anyone to perform it. YARA keyword match, no actual tool-chaining code."
analyzing-packed-malware-with-upx-unpacker,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-packed-malware-with-upx-unpacker.md,safe,
analyzing-persistence-mechanisms-in-linux,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-persistence-mechanisms-in-linux.md,safe,
analyzing-prefetch-files-for-execution-history,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-prefetch-files-for-execution-history.md,safe,
analyzing-usb-device-connection-history,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-usb-device-connection-history.md,safe,
analyzing-windows-amcache-artifacts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-windows-amcache-artifacts.md,safe,
analyzing-windows-lnk-files-for-artifacts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-windows-lnk-files-for-artifacts.md,safe,
analyzing-windows-registry-for-artifacts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-windows-registry-for-artifacts.md,safe,
analyzing-windows-shellbag-artifacts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/analyzing-windows-shellbag-artifacts.md,safe,
building-incident-timeline-with-timesketch,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/building-incident-timeline-with-timesketch.md,safe,
collecting-indicators-of-compromise,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/collecting-indicators-of-compromise.md,safe,
conducting-cloud-incident-response,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/conducting-cloud-incident-response.md,safe,
conducting-malware-incident-response,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/conducting-malware-incident-response.md,safe,
deobfuscating-powershell-obfuscated-malware,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/deobfuscating-powershell-obfuscated-malware.md,safe,
detecting-aws-cloudtrail-anomalies,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-aws-cloudtrail-anomalies.md,safe,
detecting-aws-iam-privilege-escalation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-aws-iam-privilege-escalation.md,safe,
detecting-compromised-cloud-credentials,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-compromised-cloud-credentials.md,safe,
detecting-dll-sideloading-attacks,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-dll-sideloading-attacks.md,safe,
detecting-email-account-compromise,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-email-account-compromise.md,safe,
detecting-evasion-techniques-in-endpoint-logs,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-evasion-techniques-in-endpoint-logs.md,safe,
detecting-fileless-attacks-on-endpoints,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-fileless-attacks-on-endpoints.md,safe,
detecting-golden-ticket-attacks-in-kerberos-logs,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-golden-ticket-attacks-in-kerberos-logs.md,safe,
detecting-kerberoasting-attacks,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-kerberoasting-attacks.md,safe,
detecting-malicious-scheduled-tasks-with-sysmon,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-malicious-scheduled-tasks-with-sysmon.md,safe,
detecting-mimikatz-execution-patterns,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-mimikatz-execution-patterns.md,safe,
detecting-pass-the-hash-attacks,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-pass-the-hash-attacks.md,safe,
detecting-process-hollowing-technique,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-process-hollowing-technique.md,safe,
detecting-s3-data-exfiltration-attempts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-s3-data-exfiltration-attempts.md,safe,
detecting-suspicious-powershell-execution,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-suspicious-powershell-execution.md,safe,
detecting-wmi-persistence,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/detecting-wmi-persistence.md,safe,
extracting-credentials-from-memory-dump,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/extracting-credentials-from-memory-dump.md,safe,
extracting-windows-event-logs-artifacts,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/extracting-windows-event-logs-artifacts.md,safe,
hunting-for-anomalous-powershell-execution,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-anomalous-powershell-execution.md,safe,
hunting-for-cobalt-strike-beacons,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-cobalt-strike-beacons.md,safe,
hunting-for-data-staging-before-exfiltration,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-data-staging-before-exfiltration.md,safe,
hunting-for-dcsync-attacks,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-dcsync-attacks.md,safe,
hunting-for-dns-based-persistence,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-dns-based-persistence.md,safe,
hunting-for-lateral-movement-via-wmi,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-lateral-movement-via-wmi.md,safe,
hunting-for-living-off-the-cloud-techniques,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-living-off-the-cloud-techniques.md,safe,
hunting-for-ntlm-relay-attacks,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-ntlm-relay-attacks.md,safe,
hunting-for-persistence-mechanisms-in-windows,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-persistence-mechanisms-in-windows.md,safe,
hunting-for-process-injection-techniques,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-process-injection-techniques.md,safe,
hunting-for-registry-run-key-persistence,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-registry-run-key-persistence.md,safe,
hunting-for-scheduled-task-persistence,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-scheduled-task-persistence.md,safe,
hunting-for-shadow-copy-deletion,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-shadow-copy-deletion.md,safe,
hunting-for-startup-folder-persistence,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/hunting-for-startup-folder-persistence.md,safe,
intact-azure-cloud-investigation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/intact-azure-cloud-investigation.md,safe,
intact-investigating-azure-account-compromise,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/intact-investigating-azure-account-compromise.md,safe,
performing-active-directory-compromise-investigation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-active-directory-compromise-investigation.md,safe,
performing-cloud-forensics-investigation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/performing-cloud-forensics-investigation.md,safe,
performing-cloud-forensics-with-aws-cloudtrail,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-cloud-forensics-with-aws-cloudtrail.md,safe,
performing-cloud-log-forensics-with-athena,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-cloud-log-forensics-with-athena.md,safe,
performing-cloud-storage-forensic-acquisition,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-cloud-storage-forensic-acquisition.md,safe,
performing-endpoint-forensics-investigation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/performing-endpoint-forensics-investigation.md,safe,
performing-linux-log-forensics-investigation,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/dfir/performing-linux-log-forensics-investigation.md,safe,
performing-malware-triage-with-yara,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/performing-malware-triage-with-yara.md,safe,
performing-ransomware-response,no,SAFE,0,,/home/tenroot/intact/modules/backend/services/agentic/skills/macros/performing-ransomware-response.md,safe,
